Index,Audio_Path,True_Label,Pred_Label,Confidence,True_Label_Score,,,
13271,datasets/raw/LID/ja/bDz-e8jfwHA__U__S142---3047.810-3052.580.wav,ja,ko,0.8149,0.184,,,
1300,datasets/raw/LID/ja/LvXpMXdOof4__U__S106---0689.840-0693.860.wav,ja,ko,0.8093,0.1881,,,
1300,datasets/raw/LID/ja/LvXpMXdOof4__U__S106---0689.840-0693.860.wav,ja,ko,0.8093,0.1881,,,
11939,datasets/raw/LID/en/Ha3jwaTu10o__U__S4---0058.700-0064.960.wav,en,vi,0.8077,0.0116,,,
11939,datasets/raw/LID/en/Ha3jwaTu10o__U__S4---0058.700-0064.960.wav,en,vi,0.8077,0.0116,,,
9401,datasets/raw/LID/ja/pS2e-9Jr0nw__U__S26---0173.200-0178.820.wav,ja,ko,0.8041,0.1929,,,
9401,datasets/raw/LID/ja/pS2e-9Jr0nw__U__S26---0173.200-0178.820.wav,ja,ko,0.8041,0.1929,,,
5731,datasets/raw/LID/ko/Zvf2ONeifm4__U__S394---2412.550-2416.540.wav,ko,th,0.8033,0.1707,,,
5731,datasets/raw/LID/ko/Zvf2ONeifm4__U__S394---2412.550-2416.540.wav,ko,th,0.8033,0.1707,,,
651,datasets/raw/LID/ja/R3Puv3z5JJE__U__S157---0974.130-0978.970.wav,ja,ko,0.7977,0.2006,,,
651,datasets/raw/LID/ja/R3Puv3z5JJE__U__S157---0974.130-0978.970.wav,ja,ko,0.7977,0.2006,,,
6520,datasets/raw/LID/zh/_r1nKUxwtHk__U__S40---0262.760-0275.220.wav,zh,th,0.7947,0.199,,,
6520,datasets/raw/LID/zh/_r1nKUxwtHk__U__S40---0262.760-0275.220.wav,zh,th,0.7947,0.199,,,
4250,datasets/raw/LID/vi/pJmCI2Ly9vE__U__S38---0233.600-0238.040.wav,vi,ko,0.7887,0.0914,,,
4250,datasets/raw/LID/vi/pJmCI2Ly9vE__U__S38---0233.600-0238.040.wav,vi,ko,0.7887,0.0914,,,
10942,datasets/raw/LID/vi/pJmCI2Ly9vE__U__S125---0289.310-0294.010.wav,vi,th,0.7739,0.2204,,,
10942,datasets/raw/LID/vi/pJmCI2Ly9vE__U__S125---0289.310-0294.010.wav,vi,th,0.7739,0.2204,,,
10460,datasets/raw/LID/vi/sB0sTKdZdic__U__S189---0505.540-0511.130.wav,vi,th,0.7734,0.225,,,
10460,datasets/raw/LID/vi/sB0sTKdZdic__U__S189---0505.540-0511.130.wav,vi,th,0.7734,0.225,,,
6860,datasets/raw/LID/vi/wUEVjuoDxO0__U__S110---1307.170-1312.780.wav,vi,th,0.7611,0.2386,,,
6860,datasets/raw/LID/vi/wUEVjuoDxO0__U__S110---1307.170-1312.780.wav,vi,th,0.7611,0.2386,,,
12345,datasets/raw/LID/th/VIxy4Pxq0NU__U__S120---3150.410-3155.100.wav,th,vi,0.6685,0.3309,,,
12345,datasets/raw/LID/th/VIxy4Pxq0NU__U__S120---3150.410-3155.100.wav,th,vi,0.6685,0.3309,,,
9556,datasets/raw/LID/vi/FVKiH5YSE90__U__S60---0402.180-0408.290.wav,vi,zh,0.6603,0.3365,,,
9556,datasets/raw/LID/vi/FVKiH5YSE90__U__S60---0402.180-0408.290.wav,vi,zh,0.6603,0.3365,,,
2331,datasets/raw/LID/zh/_r1nKUxwtHk__U__S163---1080.580-1089.280.wav,zh,th,0.6103,0.2358,,,
2331,datasets/raw/LID/zh/_r1nKUxwtHk__U__S163---1080.580-1089.280.wav,zh,th,0.6103,0.2358,,,
4717,datasets/raw/LID/ja/yJ5-5Kyusq0__U__S3---0018.550-0028.880.wav,ja,en,0.6089,0.2623,,,
4717,datasets/raw/LID/ja/yJ5-5Kyusq0__U__S3---0018.550-0028.880.wav,ja,en,0.6089,0.2623,,,
12728,datasets/raw/LID/th/PJCqwvI-Nk0__U__S82---0472.910-0477.220.wav,th,vi,0.6027,0.3968,,,
12728,datasets/raw/LID/th/PJCqwvI-Nk0__U__S82---0472.910-0477.220.wav,th,vi,0.6027,0.3968,,,
5245,datasets/raw/LID/ja/yyiKKzgbwl0__U__S106---0651.480-0660.290.wav,ja,ko,0.5923,0.4065,,,
5245,datasets/raw/LID/ja/yyiKKzgbwl0__U__S106---0651.480-0660.290.wav,ja,ko,0.5923,0.4065,,,
670,datasets/raw/LID/en/FtS5H8CdNDw__U__S108---2366.230-2377.170.wav,en,vi,0.5708,0.036,,,
